X, Br_real, Br_imag, Hth_real, Hth_imag
0.032, 0.018854, 0.016392, -46504.9, -10757.6
0.034222, 0.017122, 0.017079, -39165.7, -8939.18
0.036444, 0.015643, 0.017412, -32564.6, -7462.55
0.038667, 0.014375, 0.017455, -26499.5, -6253.55
0.040889, 0.013284, 0.017266, -20817.4, -5250.13
0.043111, 0.012341, 0.016895, -15405.7, -4406.77
0.045333, 0.011522, 0.016385, -10181.6, -3690.02
0.047556, 0.010807, 0.015772, -5084.64, -3074.86
0.049778, 0.010179, 0.015085, -71.2009, -2542.22
0.052000, 0.009625, 0.014347, 4888.668, -2077.37
