Speed, Torque, Voltage, Rotor_loss, Steel_loss
0, 0, 0.536071, 341.7676, 3.944175
39.79351, 0.052766, 0.537466, 341.2465, 3.933111
79.58701, 0.096143, 0.541495, 340.4618, 3.900878
119.3805, 0.14305, 0.548603, 340.0396, 3.848117
159.174, 0.19957, 0.560074, 340.225, 3.767681
198.9675, 0.2754, 0.578808, 339.2994, 3.635357
238.761, 0.367972, 0.609649, 333.6163, 3.404092
278.5546, 0.442137, 0.658967, 317.9933, 2.999715
318.3481, 0.375496, 0.728552, 288.079, 2.355622
358.1416, -0.0707, 0.790068, 256.6437, 1.674353  
